gene	expr	reptime	hic	N_nonsilent	N_silent	N_noncoding	n_nonsilent	n_silent	n_noncoding	nnei	x	X	p	q
SCOC	186461	708	3	636054	162516	0	2	0	0	4	33	2763706	9.939531e-01	1
LRTOMT	731498	267	60	1585465	506228	0	3	1	0	0	1	506228	9.939555e-01	1
PDPK1	2083323	321	42	1904426	509497	0	5	2	0	7	18	3274137	9.939582e-01	1
ZNF3	1503181	254	41	1653647	425437	0	2	1	0	1	1	725251	9.939738e-01	1
C4orf46	154316	534	-11	367062	117684	0	1	1	0	13	141	9437136	9.939757e-01	1
FAM92A1	221692	552	-4	998446	261053	0	1	0	0	1	5	1173104	9.939778e-01	1
TNFRSF19	181889	614	32	1440228	402087	0	3	0	0	5	28	4756862	9.939788e-01	1
VWC2	53908	941	-13	1070364	312423	0	5	5	0	10	97	7751266	9.939845e-01	1
LMAN2L	921353	219	45	1224941	335773	0	4	3	0	14	69	9781315	9.939864e-01	1
PTPRJ	601164	223	-10	4493474	1274443	0	18	10	0	8	31	4861470	9.940150e-01	1
CLP1	923511	354	15	1370645	431041	0	5	4	0	7	27	2786589	9.940162e-01	1
MAN2B2	501896	278	33	3339050	1009654	0	12	9	0	13	42	6856961	9.940212e-01	1
TYMS	416109	486	19	1188048	311022	0	3	0	0	0	0	311022	9.940237e-01	1
PSTPIP1	327336	436	33	1452837	378270	0	4	4	0	15	88	9218113	9.940342e-01	1
STK10	329023	272	49	3308228	865351	0	14	7	0	23	136	14373326	9.940353e-01	1
TSPYL6	619188	448	9	1332351	395082	0	9	5	0	12	35	3010282	9.940363e-01	1
PPP3CC	701231	142	41	1770397	458594	0	2	2	0	15	52	8099648	9.940363e-01	1
NOS2	474206	541	-22	3915795	1080171	0	27	10	0	1	13	1488329	9.940375e-01	1
PAQR6	2266205	211	33	1595272	368930	0	2	2	0	20	103	14016538	9.940441e-01	1
ABHD6	611196	221	43	1153490	311956	0	4	2	0	22	105	12230730	9.940497e-01	1
SLC46A1	1410113	190	28	1468715	491284	0	3	2	0	19	79	11038946	9.940501e-01	1
DHRS7C	77786	204	-62	1041410	300748	0	18	10	0	2	34	1243621	9.940532e-01	1
GLI4	1657385	389	19	1231479	369864	0	3	1	0	0	1	369864	9.940555e-01	1
PLXNB1	1401411	263	32	6952696	2226656	0	33	19	0	8	47	6252663	9.940555e-01	1
DCAF13	430771	673	28	2069277	568806	0	3	0	0	1	1	884498	9.940635e-01	1
SEMA4G	1020226	247	40	2915481	847605	0	13	8	0	29	137	15764052	9.940643e-01	1
DKK2	48475	1014	-18	870488	239104	0	32	10	0	0	10	239104	9.940682e-01	1
RUNX1	164915	429	45	1624693	504827	0	5	2	0	1	6	804641	9.940708e-01	1
TMTC4	123356	622	28	2562429	731322	0	7	4	0	7	46	7006401	9.940801e-01	1
LIMS1	363356	408	30	1153023	267591	0	1	1	0	27	69	15016852	9.940872e-01	1
ADAMTSL2	1869593	315	35	3212026	884498	0	20	11	0	3	23	2401314	9.940873e-01	1
CPNE7	1094600	211	38	2140728	613638	0	8	4	0	9	23	3417506	9.940891e-01	1
LRRC10	499701	394	14	886366	282068	0	10	8	0	3	37	2008567	9.941031e-01	1
PRUNE	1617972	165	35	1500004	447386	0	4	2	0	45	176	23147789	9.941063e-01	1
PROSC	651180	379	15	944274	257784	0	3	3	0	3	9	1186647	9.941084e-01	1
NCAPG	271201	1073	21	3465140	919990	0	7	1	0	1	2	1131541	9.941085e-01	1
HOXD11	242935	874	15	1083907	346514	0	1	1	0	8	14	3243782	9.941163e-01	1
AMY1A	NaN	NaN	NaN	5294379	1339356	0	6	3	0	1	3	1860528	9.941167e-01	1
BCL2	207116	522	60	794834	265723	0	4	1	0	0	1	265723	9.941178e-01	1
MBTPS2	93093	NaN	16	1734438	507162	0	4	2	0	2	5	1006852	9.941207e-01	1
SH2B3	466447	479	47	1846985	613171	0	3	2	0	9	29	6020097	9.941234e-01	1
HTATIP2	168576	547	-6	1039075	305885	0	2	1	0	4	10	1915167	9.941255e-01	1
FAM107B	256093	327	36	1040476	272261	0	4	4	0	7	31	3153184	9.941276e-01	1
ARHGEF10L	375252	279	30	4281456	1255296	0	15	8	0	7	29	4746588	9.941532e-01	1
RBM15	449729	379	28	3100880	1023664	0	6	2	0	4	6	1825503	9.941552e-01	1
PKP4	212889	532	5	3962495	1169368	0	20	5	0	1	8	1524288	9.941601e-01	1
OR6K6	103627	985	1	1117064	328768	0	28	15	0	2	41	948944	9.941641e-01	1
OR5K4	414958	885	-14	1049349	301215	0	20	11	0	7	65	2544683	9.941706e-01	1
RNF14	696239	321	48	1627962	407691	0	3	3	0	19	87	10768553	9.941733e-01	1
KCNJ14	1418188	209	41	1389325	458594	0	6	5	0	50	390	42730500	9.941798e-01	1
CSE1L	862939	155	50	3356329	863483	0	10	6	0	17	53	9126114	9.941913e-01	1
ALG6	133567	477	2	1753118	454858	0	4	1	0	2	4	1113328	9.941921e-01	1
KRTAP9-9	1149433	468	-14	568806	148506	0	3	1	0	14	75	4745187	9.942025e-01	1
CNOT6L	152352	493	18	1905827	495487	0	6	3	0	23	111	13406636	9.942051e-01	1
NEIL1	814680	296	43	1300128	393681	0	2	4	0	8	59	7322093	9.942168e-01	1
EARS2	528849	628	48	1726966	523040	0	5	2	0	5	15	2636215	9.942232e-01	1
TMEM126A	325720	554	-19	661739	187267	0	2	1	0	50	342	32435485	9.942318e-01	1
HACL1	433102	235	32	1992222	530979	0	5	3	0	19	46	7978228	9.942352e-01	1
KCNJ3	15788	1135	7	1651312	469802	0	34	14	0	2	25	1091379	9.942410e-01	1
TRAPPC5	688482	384	31	600095	202678	0	1	0	0	2	4	639790	9.942416e-01	1
REPS2	291898	NaN	23	2228991	644460	0	14	5	0	0	5	644460	9.942445e-01	1
ZNF880	526380	960	-32	1966070	482878	0	5	3	0	11	44	5575513	9.942461e-01	1
CD226	64726	630	40	1148353	301682	0	13	6	0	1	12	791565	9.942508e-01	1
RAB8B	451708	214	44	733657	182597	0	1	1	0	50	176	23265473	9.942509e-01	1
ADAL	823006	415	50	1266971	321763	0	4	2	0	25	125	14586278	9.942531e-01	1
LYPD4	1360684	454	23	820986	236769	0	9	8	0	2	14	707505	9.942717e-01	1
ADH6	167884	786	-3	1274910	355854	0	17	7	0	9	70	3806050	9.942943e-01	1
TES	445405	363	-9	1464512	342778	0	3	1	0	2	4	1162363	9.943081e-01	1
SRPX	141319	NaN	17	1563983	440848	0	5	2	0	1	5	994710	9.943186e-01	1
MBD3	2122824	221	35	990040	268058	0	5	4	0	1	7	748134	9.943218e-01	1
PIK3CG	171312	700	32	3683229	1008720	0	40	13	0	1	19	1696144	9.943229e-01	1
ATP2A2	969445	178	26	3512307	1000314	0	19	10	0	2	30	3571149	9.943241e-01	1
KLRB1	264317	618	7	783159	196140	0	3	0	0	1	1	288139	9.943427e-01	1
SLC22A24	NaN	NaN	NaN	1821767	545923	0	5	4	0	1	4	1067095	9.943532e-01	1
CHMP4A	974559	220	41	907848	238170	0	1	0	0	27	103	17618509	9.943535e-01	1
ZCCHC2	164923	286	44	3837339	1190850	0	16	5	0	0	5	1190850	9.943565e-01	1
LACE1	346225	491	37	1662053	431041	0	3	0	0	0	0	431041	9.943571e-01	1
ZNF493	166321	1140	-56	2705331	654267	0	19	3	0	4	22	2831888	9.943581e-01	1
LRRTM4	7531	1175	-21	1958598	542187	0	26	11	0	1	20	953147	9.943601e-01	1
SNX16	156346	680	6	1187114	302149	0	3	1	0	2	8	1246423	9.943814e-01	1
CCDC144A	1101297	499	-18	4933388	1166566	0	38	9	0	1	10	1262768	9.943877e-01	1
ANKRD20A4	NaN	NaN	NaN	2851035	690693	0	6	3	0	1	3	1211865	9.943913e-01	1
PTGES2	1898149	195	32	1239885	382473	0	3	2	0	6	23	3278340	9.943923e-01	1
ZNF570	234564	939	-52	1842782	436645	0	12	3	0	15	93	8409269	9.944045e-01	1
ZNF860	NaN	NaN	NaN	2145865	514634	0	8	4	0	1	4	1035806	9.944086e-01	1
PSD3	129089	682	-9	3572550	965289	0	29	7	0	2	27	3074728	9.944087e-01	1
PPFIA3	2011861	267	47	3985845	1204860	0	10	5	0	5	15	3193346	9.944318e-01	1
HLA-DQA1	1292851	535	17	854610	246576	0	11	7	0	6	66	2511526	9.944370e-01	1
GSG1L	592259	575	10	1114262	317560	0	5	5	0	2	7	591222	9.944392e-01	1
GGA2	525761	628	36	2086556	586552	0	11	5	0	2	8	1195520	9.944399e-01	1
ZSCAN29	823006	415	50	2845431	762144	0	9	4	0	3	17	2416258	9.944400e-01	1
VPS11	1390854	195	58	3189143	855544	0	3	2	0	6	14	3933074	9.944430e-01	1
ANKRD10	506421	402	22	1398198	399285	0	4	3	0	2	21	2493313	9.944509e-01	1
ZNF430	156264	1079	-42	1951593	470736	0	15	3	0	2	12	1393061	9.944659e-01	1
POU5F2	263452	587	3	1042344	343245	0	10	8	0	5	54	3512307	9.944674e-01	1
UBASH3B	660955	261	6	2202839	601963	0	8	6	0	3	9	1805889	9.944696e-01	1
TLR8	208025	NaN	64	3445526	942406	0	30	9	0	0	9	942406	9.944699e-01	1
FAM19A2	136152	930	-44	458594	117217	0	10	6	0	2	14	454391	9.944821e-01	1
KISS1R	2292363	206	44	1243154	456259	0	1	0	0	3	6	1820833	9.944828e-01	1
CRYGN	612907	196	36	634186	157379	0	6	5	0	3	26	1457507	9.944892e-01	1
GALNT10	557034	451	31	2038455	561801	0	7	2	0	2	10	1221672	9.944909e-01	1
SYNGR4	1478750	217	36	776154	231165	0	3	6	0	2	7	591689	9.944931e-01	1
PABPC1L	952219	282	32	2070211	595892	0	4	4	0	16	61	9933090	9.945070e-01	1
STUB1	1207790	194	33	1042811	271327	0	1	1	0	36	149	21440437	9.945094e-01	1
KRTAP10-9	874480	461	25	951746	282535	0	6	4	0	6	30	1917969	9.945196e-01	1
MAP3K9	247989	426	43	3665016	1105389	0	40	22	0	7	42	3266198	9.945252e-01	1
CEBPZ	488101	253	42	3649605	874224	0	4	2	0	2	2	1641038	9.945338e-01	1
FAM117A	993241	361	26	1470583	479609	0	7	4	0	22	114	11992093	9.945376e-01	1
SETD4	219580	318	66	1542034	410960	0	8	1	0	4	35	3926536	9.945379e-01	1
SCMH1	287585	346	25	2370492	654267	0	14	3	0	1	6	961553	9.945407e-01	1
MX2	241283	506	46	2446613	635587	0	12	6	0	50	180	23795518	9.945414e-01	1
TSFM	1160849	344	39	1234748	370798	0	1	1	0	15	45	8436355	9.945416e-01	1
PPFIBP2	104307	853	12	3000008	814915	0	9	3	0	0	3	814915	9.945435e-01	1
CCDC113	785059	347	15	1303397	332971	0	5	5	0	5	17	1722763	9.945458e-01	1
SLAMF8	802263	403	6	937736	286738	0	21	7	0	0	7	286738	9.945460e-01	1
TMEM51	379959	432	16	823321	249845	0	4	2	0	10	60	4970748	9.945478e-01	1
LDLRAD3	240340	434	-10	1162830	322230	0	4	1	0	1	7	1189449	9.945513e-01	1
ARL13B	85478	1310	-13	1487862	371265	0	6	2	0	4	33	2511993	9.945561e-01	1
ANXA6	926280	300	41	2365822	607100	0	7	4	0	11	39	6453940	9.945591e-01	1
TYRO3	744461	166	44	2953775	891970	0	14	7	0	17	117	12947108	9.945626e-01	1
PAPD7	253408	557	28	1826437	523040	0	9	7	0	5	18	2284564	9.945689e-01	1
TECRL	2644	1049	-22	1274443	317093	0	30	11	0	5	86	2682448	9.945696e-01	1
MED14	479033	NaN	63	4877815	1405670	0	8	4	0	5	6	2537678	9.945701e-01	1
STARD13	157153	583	41	3878902	1084841	0	32	12	0	2	16	1680733	9.945720e-01	1
RNPEP	751933	168	31	2167347	627648	0	9	7	0	4	23	2653961	9.945772e-01	1
HSPB3	61471	617	14	485680	148973	0	2	2	0	9	87	5118787	9.945784e-01	1
UBE2Z	775532	169	29	1182911	345580	0	4	3	0	50	233	29783392	9.945790e-01	1
TBP	425191	598	-16	1148353	314291	0	2	1	0	2	4	867219	9.945807e-01	1
NIPAL4	266195	1087	41	1511212	479609	0	12	8	0	7	31	2364888	9.945822e-01	1
GRN	1062294	172	38	2015105	548725	0	10	10	0	1	18	1599942	9.945830e-01	1
EIF3I	1460758	218	29	1143683	285337	0	2	1	0	9	27	4649919	9.945836e-01	1
RGS4	315405	691	-14	1054953	246576	0	8	4	0	14	66	5188370	9.945853e-01	1
USP39	1158965	170	43	1929644	519304	0	6	3	0	35	126	19942301	9.945870e-01	1
SLC7A3	824487	NaN	-9	2031450	640257	0	16	7	0	5	34	2505922	9.945881e-01	1
FAM118B	493677	341	28	1200657	318027	0	2	0	0	4	34	5096838	9.945930e-01	1
SLC12A7	639628	424	31	3609910	1077836	0	9	8	0	33	112	15019654	9.945955e-01	1
WDR89	320174	221	27	1288920	347448	0	3	1	0	19	80	12924225	9.945992e-01	1
CPXM1	796251	438	41	2443344	721515	0	16	11	0	2	12	985837	9.946081e-01	1
ZNF776	680410	849	-50	1760123	432442	0	5	1	0	7	19	3297487	9.946120e-01	1
MPV17L	545296	212	36	686490	158313	0	1	2	0	23	96	10903049	9.946124e-01	1
XRCC1	416043	209	-10	2143063	614105	0	8	4	0	5	18	2747361	9.946199e-01	1
F2R	257923	372	46	1379518	416564	0	12	4	0	0	4	416564	9.946255e-01	1
FDPS	1574928	194	45	1425751	396950	0	5	4	0	50	278	27279805	9.946267e-01	1
ZWINT	65824	1191	-19	960152	255916	0	2	1	0	2	19	1765260	9.946288e-01	1
KIF13B	333305	417	42	6173740	1726499	0	17	7	0	1	8	2106637	9.946324e-01	1
DOHH	2172733	210	36	973695	322230	0	5	3	0	1	13	852275	9.946338e-01	1
LZTS2	1020226	247	40	2102434	735992	0	6	2	0	7	24	4078778	9.946346e-01	1
WDR37	334592	460	42	1682601	470736	0	3	2	0	2	3	1000314	9.946356e-01	1
IFFO1	2764720	179	42	1866132	557598	0	3	1	0	8	28	4503281	9.946365e-01	1
SLC27A4	1928973	188	64	2133723	640257	0	12	5	0	6	26	3152717	9.946392e-01	1
NR1I2	422482	474	24	1602744	437112	0	5	4	0	3	10	1501405	9.946400e-01	1
EPHA2	866090	197	37	3260127	935868	0	23	12	0	4	17	1778803	9.946406e-01	1
CARD11	635400	558	24	3912993	1070364	0	74	21	0	0	21	1070364	9.946455e-01	1
ANKRD16	649866	305	28	1220271	343245	0	3	2	0	7	57	5691796	9.946469e-01	1
ZNF236	124234	597	17	6239120	1687738	0	23	8	0	5	28	4265578	9.946509e-01	1
CXCL9	489826	399	43	435711	113481	0	6	5	0	2	7	286271	9.946577e-01	1
FAIM2	1291800	231	45	1077369	316626	0	4	5	0	5	28	3147113	9.946612e-01	1
SPRR3	426723	748	28	552928	167186	0	7	3	0	1	4	248911	9.946681e-01	1
GPM6B	135235	NaN	35	1230545	316159	0	3	0	0	0	0	316159	9.946738e-01	1
PZP	352696	301	19	5024920	1407071	0	51	18	0	0	18	1407071	9.946739e-01	1
TECPR2	1666122	191	37	4712030	1347295	0	27	12	0	2	22	2811807	9.946866e-01	1
NAPEPLD	594757	579	34	1342158	341844	0	4	0	0	1	4	679018	9.946904e-01	1
KRTAP10-11	874480	461	25	970893	288606	0	8	4	0	6	30	1917969	9.946966e-01	1
CHST7	646939	NaN	40	1508410	544055	0	3	1	0	0	1	544055	9.947010e-01	1
PIK3CD	533533	204	35	3523515	991908	0	12	6	0	19	60	9467024	9.947021e-01	1
ARRDC1	1197708	478	45	1413142	452990	0	2	1	0	10	33	5603533	9.947037e-01	1
FKBP2	1613996	257	65	487081	141968	0	1	1	0	19	89	8456436	9.947065e-01	1
MFI2	719859	308	37	2684316	787362	0	6	4	0	4	23	5304653	9.947070e-01	1
STK25	1215841	426	39	1450502	405823	0	3	1	0	3	8	1681200	9.947081e-01	1
RARS	413838	432	30	2275691	583750	0	7	4	0	4	30	3891978	9.947088e-01	1
C4orf50	109875	686	16	918589	282068	0	12	6	0	0	6	282068	9.947102e-01	1
SCARA3	350607	232	30	2005765	621110	0	13	11	0	3	21	1875472	9.947153e-01	1
TRAF5	298152	424	2	1929177	470736	0	7	3	0	1	3	637455	9.947169e-01	1
METTL12	2425755	248	51	761210	257317	0	1	0	0	9	30	4451911	9.947201e-01	1
TTK	150632	841	-2	3011683	717779	0	9	1	0	0	1	717779	9.947306e-01	1
OSTM1	303865	459	38	1124536	314291	0	2	0	0	1	4	943807	9.947314e-01	1
FOXO1	237876	449	55	2136058	632318	0	14	4	0	1	12	1579394	9.947351e-01	1
AIF1L	829407	293	36	630917	146638	0	1	0	0	50	312	35074969	9.947372e-01	1
COL6A5	202934	533	11	8547968	2291569	0	40	14	0	3	20	3844344	9.947432e-01	1
GTPBP10	138505	1085	-5	1337488	346514	0	6	3	0	6	27	3029896	9.947435e-01	1
MIOX	1075525	207	42	995644	256850	0	11	6	0	1	6	424503	9.947549e-01	1
RRS1	259302	268	12	1171236	367062	0	2	0	0	5	13	2476968	9.947591e-01	1
PDHX	663753	258	6	1800752	550126	0	3	1	0	8	25	4769938	9.947706e-01	1
BLMH	516668	184	26	1597607	380605	0	3	1	0	13	62	10874562	9.947786e-01	1
PRSS23	230637	198	-7	1259499	360057	0	5	1	0	0	1	360057	9.947804e-01	1
CENPT	1039476	143	49	1842315	587019	0	3	3	0	22	45	10002673	9.947826e-01	1
IRX6	130838	706	-26	1445832	460929	0	8	5	0	8	62	4974484	9.947853e-01	1
KPNB1	1198427	217	24	2993003	812113	0	3	5	0	20	65	11289725	9.947858e-01	1
GPD1L	466186	403	6	1187114	331570	0	3	1	0	3	8	1289387	9.947858e-01	1
PRR5	320559	447	36	1271174	403021	0	3	5	0	10	38	4410348	9.947878e-01	1
ATXN2	523776	302	42	4363181	1294057	0	15	4	0	0	4	1294057	9.947906e-01	1
APOC4	1003719	196	6	432909	119085	0	2	3	0	2	3	295611	9.947907e-01	1
CYP26C1	558273	470	18	1641505	583283	0	4	3	0	14	69	8077699	9.947963e-01	1
RBM4	1432488	187	46	1191317	359590	0	2	1	0	18	82	12064478	9.947971e-01	1
GTF2A1	206731	456	-16	1297326	332037	0	3	0	0	0	0	332037	9.947997e-01	1
MMP15	856192	158	9	2197702	668744	0	10	6	0	9	43	4371120	9.948003e-01	1
THUMPD2	117341	739	-8	1727900	443650	0	3	2	0	1	2	543121	9.948039e-01	1
C17orf47	892839	376	10	1830173	575344	0	15	5	0	0	5	575344	9.948146e-01	1
EHF	1039672	320	12	1069897	240038	0	5	1	0	3	12	1293123	9.948161e-01	1
CYB5R3	858524	189	74	1173571	314291	0	3	3	0	19	79	10919861	9.948247e-01	1
BASP1	237391	349	-10	741129	222759	0	5	4	0	6	56	3361933	9.948349e-01	1
OXSM	217009	717	-3	1489263	458127	0	3	1	0	1	2	599628	9.948378e-01	1
CDK10	1090549	219	38	1295925	360057	0	3	3	0	1	3	489416	9.948404e-01	1
PIP4K2B	1198833	207	37	1436025	367062	0	3	0	0	0	0	367062	9.948414e-01	1
GTPBP2	1221714	194	46	1979146	619709	0	5	3	0	7	17	3040637	9.948512e-01	1
FOXK2	2114072	155	26	2118779	704236	0	14	7	0	2	23	1876406	9.948531e-01	1
DOK4	771506	159	45	1108191	305418	0	2	1	0	25	117	15873797	9.948562e-01	1
SERTAD1	1010633	202	34	742997	255916	0	2	2	0	23	121	11293461	9.948597e-01	1
TMPPE	513008	372	33	1438827	469335	0	5	5	0	16	55	8051547	9.948630e-01	1
IQCB1	371177	520	32	2059937	530512	0	5	1	0	0	1	530512	9.948645e-01	1
KCTD13	NaN	NaN	NaN	1071765	343245	0	5	3	0	0	3	343245	9.948672e-01	1
NDUFA10	271696	569	17	1235215	314291	0	5	2	0	1	5	621577	9.948709e-01	1
FARP1	494775	574	35	3822395	1029268	0	18	13	0	8	34	4866607	9.948728e-01	1
CRTC3	1079582	204	41	2054800	629516	0	11	6	0	10	35	4283324	9.948731e-01	1
CXCL16	1272092	222	28	898975	283469	0	1	1	0	36	153	24083190	9.948761e-01	1
HS3ST3B1	92906	944	-54	1246423	402554	0	5	6	0	5	30	3636529	9.948761e-01	1
CLEC18A	1511555	162	36	1528491	411894	0	5	3	0	50	254	32260827	9.948805e-01	1
B3GALT2	NaN	NaN	NaN	1398198	379671	0	2	3	0	1	3	900843	9.948814e-01	1
EGR2	176901	852	32	1507009	509030	0	6	4	0	30	144	17706305	9.948824e-01	1
PLS3	231348	NaN	3	2194433	541720	0	5	3	0	14	42	7555593	9.948875e-01	1
VSNL1	135361	1255	-2	666876	156912	0	5	3	0	3	43	2140728	9.948876e-01	1
FAM46B	929681	336	34	1330950	465132	0	4	7	0	6	61	5937438	9.948960e-01	1
TRIP13	812469	491	34	1488796	401153	0	8	4	0	4	39	2873451	9.948995e-01	1
VASP	1107927	194	44	1283783	384808	0	1	0	0	2	3	1180576	9.949039e-01	1
KRT84	936407	213	42	1976811	596826	0	16	5	0	1	12	1072232	9.949057e-01	1
LRRC19	116568	447	-12	1256697	325032	0	2	1	0	1	3	819118	9.949063e-01	1
MAGEE1	55359	NaN	-19	3034099	992375	0	20	7	0	0	7	992375	9.949076e-01	1
CASZ1	809310	433	27	5779125	1721829	0	31	16	0	4	23	4132950	9.949126e-01	1
CSNK1D	2856070	193	24	1438360	409559	0	8	5	0	4	23	1569587	9.949136e-01	1
SCPEP1	333715	254	-10	1559313	414696	0	4	5	0	11	59	5300450	9.949180e-01	1
HOXA9	473864	394	13	885432	270393	0	4	2	0	13	63	6965305	9.949193e-01	1
AWAT2	166632	NaN	16	1130140	315692	0	5	2	0	14	52	5088432	9.949238e-01	1
LOXL3	1019591	315	50	2526470	718246	0	9	6	0	9	34	4548113	9.949256e-01	1
REXO1	2226995	214	26	3949886	1273042	0	11	8	0	2	8	1937583	9.949473e-01	1
DDB2	1274054	198	38	1450969	398351	0	3	0	0	2	7	1252027	9.949501e-01	1
NFKBIE	1037256	312	54	1573790	562735	0	2	2	0	3	16	2688519	9.949517e-01	1
EIF5B	387331	612	25	4249700	1011055	0	8	2	0	0	2	1011055	9.949591e-01	1
CCNI2	717412	356	59	1227276	361458	0	2	0	0	0	0	361458	9.949641e-01	1
TBC1D3F	711283	NaN	16	3719655	1046547	0	7	1	0	1	4	1788143	9.949652e-01	1
COG6	73269	761	11	2285031	617841	0	7	1	0	2	15	2978526	9.949663e-01	1
SOX2	39313	1104	-14	1032537	304017	0	2	0	0	0	0	304017	9.949726e-01	1
CALML3	769552	446	17	492218	138232	0	7	3	0	1	7	280200	9.949802e-01	1
STX3	395993	494	8	1075968	268992	0	1	0	0	10	27	4603686	9.949808e-01	1
TRPV5	294033	676	2	2437273	712175	0	52	24	0	1	29	850407	9.949881e-01	1
AASS	57655	988	-13	3171864	853209	0	14	6	0	3	32	4579402	9.949923e-01	1
PIK3C2G	24982	986	-31	5004372	1246890	0	88	23	0	1	27	1587333	9.949951e-01	1
AP2A2	1509286	246	48	3149448	919056	0	11	8	0	7	43	5732425	9.949996e-01	1
OR2W1	155147	738	1	1048415	300748	0	31	16	0	2	39	908315	9.950145e-01	1
FAM3C	100604	535	-1	813514	195206	0	2	0	0	5	24	2687585	9.950198e-01	1
MEGF9	551753	185	15	2099632	629516	0	2	1	0	3	4	2037521	9.950230e-01	1
ACTG1	3582152	268	26	1245022	363326	0	7	8	0	5	21	2034252	9.950236e-01	1
DUSP26	91655	610	11	690226	217622	0	8	4	0	2	13	679018	9.950311e-01	1
RHOBTB3	310056	242	46	2100566	533314	0	4	0	0	6	11	2922953	9.950326e-01	1
HOXC13	1257445	274	23	1060090	336707	0	4	1	0	5	16	1993623	9.950339e-01	1
KRT9	1494501	323	11	2059003	605699	0	33	10	0	0	10	605699	9.950475e-01	1
TAP2	1313279	295	31	2314919	750469	0	11	6	0	0	6	750469	9.950550e-01	1
RBCK1	802744	165	41	1749382	486614	0	3	1	0	11	39	7380001	9.950560e-01	1
ARHGEF17	601834	218	54	6625329	2164545	0	33	21	0	9	58	7822250	9.950581e-01	1
PIK3AP1	794261	622	28	2727280	750002	0	36	9	0	1	14	1186647	9.950591e-01	1
RIOK1	789838	250	17	2018841	462330	0	7	2	0	6	29	4232888	9.950618e-01	1
CKMT1B	794398	269	37	1375782	425904	0	3	2	0	39	137	21659927	9.950645e-01	1
TRAF3	719158	178	49	1954862	492685	0	5	3	0	50	124	19796130	9.950669e-01	1
DHRS4	984811	442	23	928863	285804	0	2	3	0	31	210	21260642	9.950733e-01	1
LOR	836876	556	24	960619	360524	0	1	0	0	0	0	360524	9.950771e-01	1
PAG1	185952	441	18	1455172	398351	0	3	2	0	12	34	5279435	9.950790e-01	1
WHAMM	476426	631	23	2671240	783626	0	2	0	0	0	0	783626	9.950821e-01	1
RNF13	536427	340	14	1318808	337174	0	1	1	0	16	50	10531784	9.950919e-01	1
C17orf74	1906324	206	33	1625627	501091	0	18	13	0	1	13	618308	9.950921e-01	1
IGFBP7	544216	314	32	917655	297012	0	2	0	0	9	31	4296400	9.950926e-01	1
ADK	622159	598	40	1287986	318961	0	6	5	0	1	13	1569587	9.950933e-01	1
DIRC2	423454	412	37	1563049	495020	0	4	1	0	5	21	3898049	9.950952e-01	1
NUDT16L1	717235	194	35	679485	225561	0	1	1	0	4	27	2872517	9.950952e-01	1
KRTAP1-3	977588	404	10	561801	147105	0	2	2	0	17	58	4296400	9.951001e-01	1
SLC16A13	1696302	360	24	1321143	490350	0	1	4	0	11	19	3988180	9.951039e-01	1
CECR1	305072	574	-55	1777402	467000	0	15	12	0	2	19	1217469	9.951047e-01	1
ZNF439	739660	633	-2	1704083	408625	0	7	4	0	3	12	1382787	9.951068e-01	1
ZNF638	328513	459	19	6706587	1756854	0	30	10	0	0	10	1756854	9.951107e-01	1
CHML	NaN	NaN	NaN	2174352	587019	0	4	3	0	1	3	1108191	9.951111e-01	1
ADH5	192327	549	11	1268372	355387	0	4	1	0	0	1	355387	9.951153e-01	1
AP3B2	509813	608	16	3551068	1034405	0	25	13	0	4	35	2672174	9.951212e-01	1
SBNO1	1090982	125	37	4763400	1263702	0	19	5	0	13	71	12212517	9.951308e-01	1
KLHL2	171218	540	5	2095896	535182	0	9	2	0	3	10	1363173	9.951405e-01	1
PNKD	732698	197	35	1659718	521639	0	7	4	0	4	27	2872517	9.951406e-01	1
NES	1851672	180	37	5213588	1620490	0	34	12	0	17	72	9519328	9.951432e-01	1
HMGCLL1	28261	691	-14	1253428	356321	0	26	11	0	5	94	2484907	9.951449e-01	1
KCNC3	1072052	528	26	2401781	806509	0	14	14	0	4	29	2596053	9.951449e-01	1
FAM159A	663153	261	19	641191	178394	0	1	2	0	30	127	15523547	9.951469e-01	1
SLC25A32	430771	673	28	1117531	315692	0	3	1	0	8	28	4237558	9.951510e-01	1
KL	209854	595	23	3323172	959685	0	51	23	0	1	23	1095582	9.951573e-01	1
FNTA	304258	559	12	1323011	321763	0	3	2	0	4	7	1285651	9.951618e-01	1
PTK2	466681	356	35	3735533	956416	0	8	3	0	6	15	3647737	9.951670e-01	1
MCM8	301031	346	13	2866446	769149	0	11	4	0	2	8	1567252	9.951680e-01	1
ZNF384	2816983	210	61	1933847	545923	0	11	3	0	0	3	545923	9.951684e-01	1
SMAD5	284497	449	34	1582196	400219	0	3	0	0	0	0	400219	9.951693e-01	1
GALNT12	221241	164	17	1931979	564603	0	12	6	0	12	54	5925763	9.951693e-01	1
CHRNB1	1906324	206	33	1669992	498756	0	9	3	0	1	3	615973	9.951709e-01	1
FHDC1	227983	342	25	3718721	1148353	0	32	11	0	1	17	1948791	9.951713e-01	1
MOV10	559669	325	27	3332512	1004984	0	14	8	0	21	77	11273847	9.951759e-01	1
ZNF510	327128	491	14	2350878	546390	0	5	2	0	7	35	4682609	9.951761e-01	1
FRZB	330424	450	6	1089511	308687	0	3	3	0	43	162	20227638	9.951783e-01	1
